5391,8260,5391,8216,5357,8216,5357,8260
5391,7919,5391,7873,5356,7873,5356,7919
5392,7804,5392,7757,5357,7757,5357,7804
5390,8144,5390,8101,5356,8101,5356,8144
5391,8493,5391,8447,5357,8447,5357,8493
5392,8377,5392,8332,5357,8333,5357,8377
5392,8608,5392,8563,5357,8563,5357,8608
4349,8153,4349,8127,4315,8127,4315,8153
4349,8126,4349,8103,4315,8103,4315,8126
4351,8360,4351,8334,4317,8334,4317,8360
4350,8032,4350,7988,4316,7988,4316,8032
4349,7806,4349,7783,4314,7783,4314,7806
4351,8383,4351,8360,4317,8361,4317,8383
4352,8612,4352,8565,4317,8565,4317,8612
4349,7783,4349,7755,4315,7755,4315,7783
4725,5032,4696,5032,4696,5072,4725,5072
6513,1566,6462,1566,6462,1628,6513,1628
5004,1584,4960,1584,4960,1639,5004,1639
5355,1596,5311,1596,5311,1629,5355,1629
6049,2555,6018,2555,6018,2600,6049,2600
6647,6597,6616,6597,6616,6643,6647,6643
1593,1413,1524,1413,1524,1444,1593,1444
7143,5172,7093,5172,7093,5204,7143,5204
1958,5600,1931,5600,1931,5640,1958,5640
2409,5793,2379,5793,2379,5833,2409,5833
3634,6072,3620,6072,3620,6225,3634,6225
5358,3551,5314,3551,5314,3586,5358,3586
6748,7917,6748,7873,6713,7873,6713,7917
6748,8611,6748,8565,6712,8565,6712,8611
4944,3923,4900,3923,4900,3977,4944,3977
